"type_source";"n";"prop";"name_style";"type"
"national vet auth.";18;-0.418604651162791;"National vet. auth.";"primary"
"local vet auth.";8;-0.186046511627907;"Local vet. auth.";"primary"
"laboratory";5;-0.116279069767442;"Laboratory";"primary"
"local off. auth.";3;-0.0697674418604651;"Local auth.";"primary"
"online news source";3;-0.0697674418604651;"Online news";"primary"
"press agency";3;-0.0697674418604651;"Press agency";"primary"
"social platform";2;-0.0465116279069767;"Social platform";"primary"
"national off. auth.";1;-0.0232558139534884;"National auth.";"primary"
"private company";0;0;"Private company";"primary"
"radio, TV";0;0;"Radio, TV";"primary"
"laboratory";0;0;"Laboratory";"secondary"
"local off. auth.";0;0;"Local auth.";"secondary"
"local vet auth.";0;0;"Local vet. auth.";"secondary"
"national off. auth.";0;0;"National auth.";"secondary"
"national vet auth.";3;0.0789473684210526;"National vet. auth.";"secondary"
"online news source";22;0.578947368421053;"Online news";"secondary"
"press agency";7;0.184210526315789;"Press agency";"secondary"
"private company";0;0;"Private company";"secondary"
"radio, TV";1;0.0263157894736842;"Radio, TV";"secondary"
"social platform";5;0.131578947368421;"Social platform";"secondary"
