Id;source;latitude;longitude;region;country;admin1;localityName;localityQuality;observationDate;reportingDate;status;disease;serotypes;speciesDescription;sumAtRisk;sumCases;sumDeaths;sumDestroyed;sumSlaughtered;humansGenderDesc;humansAge;humansAffected;humansDeaths
238793;OIE;6.105563;116.229785;Asia;Malaysia;Sabah;Kampung Kauluan;Exact;2018-07-27;2018-08-06;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, chicken;28000;3000;3000;25000;;;;;
238792;OIE;20.9063;106.5885;Asia;Viet Nam;Hai Phong City;An Hung;Exact;2018-07-30;2018-08-03;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, unspecified bird;5500;2000;1000;4500;;;0;;
238791;OIE;20.9105;106.609;Asia;Viet Nam;Hai Phong City;An Hong;Exact;2018-07-28;2018-08-03;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, unspecified bird;4720;1000;500;4220;;;0;;
238790;OIE;19.0306;105.5515;Asia;Viet Nam;Nghe An;Dien Lien;Exact;2018-07-28;2018-08-03;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, unspecified bird;2400;90;90;2310;;;;;
238515;OIE;55.018928;48.323572;Europe;Russian Federation;Tatarstan Rep.;Nizhniy Naratbash;Exact;2018-07-20;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;26;4;4;22;;;0;;
238514;OIE;55.419767;48.494996;Europe;Russian Federation;Tatarstan Rep.;Verhnee Atkozino;Exact;2018-07-20;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;46;14;14;32;;;0;;
238513;OIE;55.240929;48.762553;Europe;Russian Federation;Tatarstan Rep.;Burnashevo ;Exact;2018-07-20;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;20;4;3;17;;;0;;
238512;OIE;54.874391;47.804693;Europe;Russian Federation;Chuvashiya Rep.;Volnyy Stan ;Exact;2018-07-19;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;73;9;9;64;;;0;;
238511;OIE;55.199476;48.505955;Europe;Russian Federation;Tatarstan Rep.;Apastovo;Exact;2018-07-19;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;113;113;100;13;;;0;;
238510;OIE;55.150858;49.05717;Europe;Russian Federation;Tatarstan Rep.;Ishimovo ;Exact;2018-07-19;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;71;29;29;42;;;0;;
238509;OIE;55.151115;48.172877;Europe;Russian Federation;Tatarstan Rep.;Kamennyy Brod ;Exact;2018-07-19;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;44;4;4;40;;;0;;
238508;OIE;55.412023;48.536922;Europe;Russian Federation;Tatarstan Rep.;Azbaba ;Exact;2018-07-19;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;80;16;9;71;;;0;;
238507;OIE;55.487856;48.19578;Europe;Russian Federation;Tatarstan Rep.;Araslanovo ;Exact;2018-07-18;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;39;20;20;19;;;0;;
238506;OIE;52.044867;43.947311;Europe;Russian Federation;Saratovskaya Oblast;Kamenka ;Exact;2018-07-18;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;209;15;15;194;;;0;;
238505;OIE;55.32476;48.636155;Europe;Russian Federation;Tatarstan Rep.;Malye Kokuzy ;Exact;2018-07-14;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;60;22;16;44;;;0;;
238504;OIE;55.24383;48.414792;Europe;Russian Federation;Tatarstan Rep.;Karatun ;Exact;2018-07-13;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;16;2;2;14;;;0;;
238503;OIE;55.196963;49.261219;Europe;Russian Federation;Tatarstan Rep.;Kamskoe Ust''e ;Exact;2018-07-12;2018-07-25;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;193;19;19;174;;;0;;
238468;National authorities;23.402081;45.23404;Asia;Saudi Arabia;Riyad;Alazizia live bird market;Centroid Admin1;2018-07-17;2018-07-17;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, duck;14675;1;0;14675;;;0;;
238443;OIE;-34.2;19.6;Africa;South Africa;Western Cape;HPAI_H5N8_2017_192;Exact;2018-07-13;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;wild,blue crane (grus paradisea));;1;1;0;0;;0;;
