Id;source;latitude;longitude;region;country;admin1;localityName;localityQuality;observationDate;reportingDate;status;disease;serotypes;speciesDescription;sumAtRisk;sumCases;sumDeaths;sumDestroyed;sumSlaughtered;humansGenderDesc;humansAge;humansAffected;humansDeaths
255239;OIE;20.48208;-99.28236;Americas;Mexico;Hidalgo;Tasquillo;Unknown;2019-06-06;2019-07-08;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;1000;1000;1000;0;0;;;;
255104;OIE;23.785295;120.50508;Asia;Taiwan (Province of China);Taiwan Sheng;Citong Township;Unknown;2019-06-28;2019-07-03;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;18988;240;240;18748;0;;;;
255103;OIE;23.85076;120.306669;Asia;Taiwan (Province of China);Taiwan Sheng;Dacheng Township;Unknown;2019-06-26;2019-07-03;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;18723;1037;1037;17686;0;;;;
255102;OIE;23.645431;120.343836;Asia;Taiwan (Province of China);Taiwan Sheng;Yuanchang Township;Unknown;2019-06-24;2019-07-03;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, goose;805;29;29;776;0;;;;
255101;OIE;23.848536;120.298408;Asia;Taiwan (Province of China);Taiwan Sheng;Dacheng Township;Unknown;2019-06-24;2019-07-03;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;28160;1200;1200;26960;0;;;;
255100;OIE;23.742488;120.237438;Asia;Taiwan (Province of China);Taiwan Sheng;Taixi Township;Unknown;2019-06-24;2019-07-03;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;5897;123;123;5774;0;;;;
254953;OIE;20.6032;106.5665;Asia;Viet Nam;Thai Binh;Thuy Hong ;Exact;2019-06-23;2019-07-03;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, unspecified bird;1000;1000;35;965;;;;;
254907;OIE;55.31;11.5799;Europe;Denmark;Vestsjaelland;Fuglebjerg;Unknown;2019-06-25;2019-06-28;Confirmed;Influenza - Avian;H5 LPAI;domestic, unspecified bird;3000;0;0;0;0;;;;
254693;OIE;27.98174;85.25881;Asia;Nepal;Central;Naukunda Rural Municipality-5;Unknown;2019-06-18;2019-06-26;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, unspecified bird;900;219;219;681;0;;0;;
254657;OIE;27.669813;85.410775;Asia;Nepal;Central;Suryabinayak municipality-5;Unknown;2019-06-11;2019-06-25;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, chicken;5496;1535;1535;3961;0;;0;;
254656;OIE;23.990492;120.378555;Asia;Taiwan (Province of China);Taiwan Sheng;Fangyuan Township;Unknown;2019-06-18;2019-06-25;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;29030;1070;1070;27960;0;;;;
254590;OIE;-25.72004;14.83295;Africa;Namibia;Karas;Mercury Island;Exact;2019-06-20;2019-06-20;Confirmed;Influenza - Avian;H5N8 HPAI;wild, jackass penguin spheniscus demersus;;19;19;0;0;;0;;
254589;OIE;-26.288038;14.956528;Africa;Namibia;Karas;Ichaboe Island;Centroid Locality;2019-02-20;2019-06-20;Confirmed;Influenza - Avian;H5N8 HPAI;wild, jackass penguin spheniscus demersus;;45;45;0;0;;0;;
254578;OIE;-26.65;15.08;Africa;Namibia;Karas;Halifax Island;Unknown;2019-02-20;2019-06-20;Confirmed;Influenza - Avian;H5N8 HPAI;wild, jackass penguin spheniscus demersus;;174;174;0;0;;;;
254548;OIE;23.668553;120.240054;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Unknown;2019-06-08;2019-06-18;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;12476;591;591;11885;0;;;;
254547;OIE;25.03067;121.48937;Asia;Taiwan (Province of China);Taiwan Sheng;Wanhua District;Unknown;2019-05-31;2019-06-18;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;26;2;0;26;0;;;;
254546;OIE;23.637128;120.195954;Asia;Taiwan (Province of China);Taiwan Sheng;Sihu Township;Unknown;2019-05-27;2019-06-18;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, goose;3;3;3;0;0;;;;
254513;National authorities;49.963279;5.438261;Europe;Belgium;Region wallonne;Luxembourg;Centroid Admin2;2019-01-31;2019-06-14;Confirmed;Influenza - Avian;H3 LPAI;domestic, chicken;;;;;;;0;;
254512;National authorities;50.475605;5.77263;Europe;Belgium;Region wallonne;Liege;Centroid Admin2;2019-01-31;2019-06-14;Confirmed;Influenza - Avian;H3 LPAI;domestic, chicken;;;;;;;0;;
254511;National authorities;51.247127;4.689417;Europe;Belgium;Vlaams Gewest;Antwerpen;Centroid Admin2;2019-01-31;2019-06-14;Confirmed;Influenza - Avian;H3 LPAI;domestic, chicken;;;;;;;0;;
254510;National authorities;51.013206;3.834678;Europe;Belgium;Vlaams Gewest;Oost-Vlaanderen;Centroid Admin2;2019-01-31;2019-06-14;Confirmed;Influenza - Avian;H3 LPAI;domestic, chicken;;;;;;;0;;
254509;National authorities;51.041955;3.006225;Europe;Belgium;Vlaams Gewest;West-Vlaanderen;Centroid Admin2;2019-01-31;2019-06-14;Confirmed;Influenza - Avian;H3 LPAI;domestic, chicken;;;;;;;;;
254508;National authorities;51.041955;3.006225;Europe;Belgium;Vlaams Gewest;West-Vlaanderen;Centroid Admin2;2019-01-31;2019-04-06;Confirmed;Influenza - Avian;H3N1 LPAI;domestic, chicken;;;;;;;;;
254456;National authorities;50.383333;3.316667;Europe;France;Nord-Pas-de-Calais;Nord department;Centroid Locality;2019-05-22;2019-06-14;Confirmed;Influenza - Avian;H3N1 LPAI;domestic, chicken;;;;;;;;;
254083;OIE;20.425778;-100.06;Americas;Mexico;Queretaro;San Juan del Río;Exact;2019-05-20;2019-06-04;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;133566;5;0;133566;0;;;;
254082;OIE;19.8281;-98.9606;Americas;Mexico;Hidalgo;Tizayuca;Exact;2019-05-14;2019-06-04;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;1300;1200;1150;150;0;;;;
254081;OIE;20.68267;-99.81036;Americas;Mexico;Queretaro;Cadereyta de Montes;Exact;2019-05-14;2019-06-04;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;25;5;0;25;0;;;;
254080;OIE;17.924;-99.898;Americas;Mexico;Guerrero;General Heliodoro Castillo;Exact;2019-05-08;2019-06-04;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;54;14;10;0;0;;;;
253832;OIE;-32.8;23.9;Africa;South Africa;Eastern Cape;HPAI_H5N8_2017_205;Exact;2019-04-15;2019-06-04;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, ostrich;709;22;;;;;;;
253812;National authorities;44.24747;80.6674;Asia;China;Xinjiang Uygur Zizhiqu;Liushuqu Village;Exact;2019-05-24;2019-06-01;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, unspecified bird;11910;1503;1015;10895;;;0;;
253791;OIE;23.60533;120.19777;Asia;Taiwan (Province of China);Taiwan Sheng;Kouhu Township;Exact;2019-05-24;2019-05-29;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;14642;639;639;14003;0;;;;
253790;OIE;23.716737;120.237712;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-05-20;2019-05-29;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;18397;745;745;17652;0;;;;
253789;OIE;23.740892;120.240172;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-05-16;2019-05-29;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, duck;1653;0;0;1653;0;;;;
253757;OIE;6.6212;5.8581;Africa;Nigeria;Edo;Oba Area;Exact;2019-04-21;2019-05-28;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;;20;;;;;;;
253619;OIE;23.849417;120.372667;Asia;Taiwan (Province of China);Taiwan Sheng;Zhutang Township;Exact;2019-05-17;2019-05-24;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;3944;2136;2136;1808;0;;;;
253618;OIE;22.436139;120.556583;Asia;Taiwan (Province of China);Taiwan Sheng;Jiadong Township;Exact;2019-05-14;2019-05-24;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, duck;4193;40;40;4153;0;;;;
253426;OIE;9.8088;105.8023;Asia;Viet Nam;Hau Giang;Lai Hieu;Exact;2019-05-04;2019-05-20;Confirmed;Influenza - Avian;;domestic, unspecified bird;1120;0;0;1120;0;;;;
253412;OIE;20.5267;-100.08585;Americas;Mexico;Queretaro;Pedro Escobedo;Exact;2019-05-07;2019-05-17;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;2000;1400;1200;0;0;;;;
253411;OIE;19.555278;-98.024444;Americas;Mexico;Tlaxcala;Tlaxco;Exact;2019-04-30;2019-05-17;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;10;5;5;5;0;;;;
253410;OIE;17.928;-99.9;Americas;Mexico;Guerrero;General Heliodoro Castillo;Exact;2019-04-30;2019-05-17;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;34;24;19;15;0;;;;
253409;OIE;20.65652;-99.96347;Americas;Mexico;Queretaro;Ezequiel Montes;Exact;2019-04-29;2019-05-17;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;62;50;42;20;0;;;;
253408;OIE;20.066601;-100.07374;Americas;Mexico;Queretaro;Colón;Exact;2019-04-24;2019-05-17;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;1;1;0;1;0;;;;
253261;OIE;9.8088;105.8023;Asia;Viet Nam;Hau Giang;Lai Hieu;Exact;2019-05-04;2019-05-20;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, unspecified bird;1120;;;1120;;;;;
253104;OIE;23.769176;120.273879;Asia;Taiwan (Province of China);Taiwan Sheng;Mailiao Township;Exact;2019-05-04;2019-05-14;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;14336;816;816;13520;0;;;;
253103;OIE;22.894632;120.22422;Asia;Taiwan (Province of China);Taiwan Sheng;Hunei District;Exact;2019-04-30;2019-05-14;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;5675;519;210;5465;0;;;;
253079;OIE;24.806888;121.76727;Asia;Taiwan (Province of China);Taiwan Sheng;Jiaoxi Township;Exact;2019-01-10;2019-05-13;Confirmed;Influenza - Avian;H7N7 LPAI;domestic, duck;1300;0;0;0;0;;;;
252684;OIE;27.559229;84.04133;Asia;Nepal;Western;Madhyabidu municipality-2;Exact;2019-05-02;2019-05-05;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, unspecified bird;271;25;25;246;0;;;;
252403;OIE;23.863379;120.350614;Asia;Taiwan (Province of China);Taiwan Sheng;Erlin Township;Exact;2019-04-19;2019-04-30;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;31153;4050;4050;27103;0;;;;
252402;OIE;23.732428;120.258915;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-04-17;2019-04-30;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, goose;1139;0;0;1139;0;;;;
252247;National authorities;27.857184;85.407489;Asia;Nepal;Central;Bagmati;Centroid Admin2;2019-03-24;2019-05-02;Confirmed;Influenza - Avian;H5N1 HPAI;;;;;;;Male;21;1;1
252226;OIE;20.21594;-98.76137;Americas;Mexico;Hidalgo;Mineral del Chico;Exact;2019-04-15;2019-04-26;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;598;178;172;0;0;;;;
252225;OIE;20.676714;-99.987875;Americas;Mexico;Queretaro;Colon;Exact;2019-04-08;2019-04-26;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;138632;5;0;0;138632;;;;
252106;OIE;27.74111111;85.41666667;Asia;Nepal;Central;Kageshwori;Exact;2019-04-23;2019-04-29;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, duck;500;190;190;310;;;0;;
252039;OIE;32.478083;35.418018;Asia;Israel;Northern;MA''ALE GILBOA;Exact;2019-04-20;2019-04-25;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, turkey;13500;350;200;13300;0;;;;
252038;OIE;23.692255;120.258276;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-04-12;2019-04-26;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;22879;79;79;22800;0;;;;
252037;OIE;23.8743;120.4437;Asia;Taiwan (Province of China);Taiwan Sheng;Pitou Township;Exact;2019-04-08;2019-04-26;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;720;43;43;677;0;;;;
251947;OIE;36.378;-121.656;Americas;United States of America;California;Monterey County;Exact;2019-04-15;2019-04-24;Confirmed;Influenza - Avian;H5 LPAI;domestic, duck;9476;0;0;0;0;;;;
251909;OIE;19.40207;-70.56506;Americas;Dominican Republic;Espaillat;Espaillat;Exact;2019-01-22;2019-04-22;Confirmed;Influenza - Avian;H5N2 LPAI;domestic, unspecified bird;19;12;7;0;0;;;;
251908;OIE;19.42478;-70.49296;Americas;Dominican Republic;Espaillat;Espaillat;Exact;2019-01-21;2019-04-22;Confirmed;Influenza - Avian;H5N2 LPAI;domestic, unspecified bird;59097;0;0;0;0;;;;
251907;OIE;19.360898;-70.5173;Americas;Dominican Republic;Espaillat;Espaillat;Exact;2019-01-14;2019-04-22;Confirmed;Influenza - Avian;H5N2 LPAI;domestic, chicken;13000;0;0;0;0;;;;
251906;OIE;19.40182;-70.508422;Americas;Dominican Republic;Espaillat;Espaillat;Exact;2019-01-10;2019-04-22;Confirmed;Influenza - Avian;H5N2 LPAI;domestic, chicken;45000;535;530;0;0;;;;
251905;OIE;19.37906;-70.54887;Americas;Dominican Republic;Espaillat;Espaillat;Exact;2019-01-09;2019-04-22;Confirmed;Influenza - Avian;H5N2 LPAI;domestic, chicken;3000;0;0;0;0;;;;
251904;OIE;19.39742;-70.505116;Americas;Dominican Republic;Espaillat;Espaillat;Exact;2019-01-08;2019-04-22;Confirmed;Influenza - Avian;H5N2 LPAI;domestic, unspecified bird;56685;2350;2350;0;0;;;;
251903;OIE;19.37903;-70.55098;Americas;Dominican Republic;Espaillat;Espaillat;Exact;2018-12-30;2019-04-22;Confirmed;Influenza - Avian;H5N2 LPAI;domestic, chicken;1800;30;0;0;0;;;;
251626;OIE;10.98066;104.7799;Asia;Cambodia;Takeo;Daunkeo market;Exact;2019-03-25;2019-04-18;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, unspecified bird;100;10;;90;;;0;;
251549;OIE;23.028841;89.399236;Asia;Bangladesh;Khulna;Noapara;Exact;2018-12-15;2019-04-17;Confirmed;Influenza - Avian;H5 HPAI;wild, crow;;31;31;;;;;;
251548;OIE;25.03067;121.48937;Asia;Taiwan (Province of China);Taiwan Sheng;Wanhua District;Exact;2019-03-26;2019-04-16;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;77;4;;77;;;;;
251544;OIE;19.878863;-99.554658;Americas;Mexico;Mexico;Chapa de Mota;Exact;2019-04-09;2019-04-16;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;290;290;230;60;;;;;
251543;OIE;21.377253;-101.929069;Americas;Mexico;Jalisco;Lagos de Moreno;Exact;2019-04-09;2019-04-16;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;612;612;120;429;;;;;
251542;OIE;21.375311;-101.935152;Americas;Mexico;Jalisco;Lagos de Moreno;Exact;2019-04-09;2019-04-16;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, chicken;1625;1625;400;1225;;;;;
251434;OIE;6.5898;5.8414;Africa;Nigeria;Edo;Benin City;Exact;2019-04-05;2019-04-15;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, chicken;1500;250;250;1250;;;0;;
251432;OIE;37.944969;46.012833;Asia;Iran  (Islamic Republic of);East Azarbayejan;badihe aghdam;Exact;2019-04-08;2019-04-13;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;65000;65000;278;64722;;;;;
251431;OIE;35.20394;51.71101;Asia;Iran  (Islamic Republic of);Tehran;hesar beyg;Exact;2019-04-08;2019-04-13;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;10000;10000;4000;6000;;;;;
251430;OIE;27.623224;85.359019;Asia;Nepal;Central;Godabari-1;Exact;2019-04-12;2019-04-13;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, chicken;1000;123;123;877;;;;;
251401;OIE;25.03067;121.48937;Asia;Taiwan (Province of China);Taiwan Sheng;Wanhua District;Exact;2019-03-29;2019-04-08;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;8;1;;8;;;;;
251400;OIE;23.735578;120.241605;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-03-26;2019-04-08;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;12585;241;241;12344;;;;;
251399;OIE;25.117318;121.474572;Asia;Taiwan (Province of China);Taiwan Sheng;Beitou District;Exact;2019-03-25;2019-04-08;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;3;3;3;;;;;;
251398;OIE;23.677665;120.265872;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-03-22;2019-04-08;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;18848;302;302;18546;;;;;
251397;OIE;23.683074;120.263209;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-03-21;2019-04-08;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, duck;4738;;;;;;;;
251396;OIE;23.683875;120.263218;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-03-21;2019-04-08;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, duck;6260;;;6260;;;;;
251395;OIE;25.03067;121.48937;Asia;Taiwan (Province of China);Taiwan Sheng;Wanhua District;Exact;2019-03-16;2019-04-08;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;21;1;;21;;;;;
251274;OIE;26.8382;89.1136;Asia;Bhutan;Samtse;Dhamdara ;Exact;2019-04-06;2019-04-11;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, unspecified bird;2000;264;264;1095;;;0;;
250626;National authorities;42.0494;24.9058;Europe;Bulgaria;Plovdiv;Asenovgrad ;Exact;2019-04-08;2019-04-08;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, chicken;168752;300;300;168452;;;0;;
250532;National authorities;42.0925;24.815;Europe;Bulgaria;Plovdiv;Krumovo;Exact;2019-04-03;2019-04-05;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, chicken;37;37;37;0;;;0;;
250531;National authorities;42.0494;24.9058;Europe;Bulgaria;Plovdiv;Asenovgrad ;Exact;2019-04-03;2019-04-05;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, chicken;34998;298;298;34700;;;0;;
250447;National authorities;40.101957;103.294553;Asia;China;Nei Mongol Zizhiqu;Alxa;Centroid Admin2;;2019-04-05;Confirmed;Influenza - Avian;H7N9 LPAI;;;;;;;Male;82;1;0
250293;OIE;20.443063;85.401419;Asia;India;Orissa;Govt. Duck Breeding Farm;Exact;2019-03-23;2019-04-04;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, duck;924;235;235;689;;;;;
250235;OIE;27.643333;85.401388;Asia;Nepal;Central;Suryabinayak municipality-1;Exact;2019-03-29;2019-04-04;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, chicken;3200;215;215;2985;;;;;
250205;OIE;19.650621;-98.880518;Americas;Mexico;Mexico;Acolman;Exact;2019-03-06;2019-04-01;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, chicken;150;150;150;;;;;;
250202;OIE;43.0747;24.0764;Europe;Bulgaria;Lovech;Lovech;Exact;2019-04-02;2019-04-03;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;1400;20;0;1400;;;0;;
250141;National Institute for Communicable Diseases, NICD;32.593353;120.046884;Asia;China;Jiangsu Sheng;Taizhou;Centroid Admin2;2019-03-15;2019-04-04;Confirmed;Influenza - Avian;H9N2 LPAI;;;;;;;Male;9;1;
250118;National authorities;42.13527;122.79055;Asia;China;Liaoning Sheng;Xinmin City;Exact;;2019-03-31;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, unspecified bird;25472;1000;1000;24472;;;0;;
250058;OIE;25.117318;121.474572;Asia;Taiwan (Province of China);Taiwan Sheng;Beitou District;Exact;2019-03-22;2019-03-29;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;3;3;3;;;;;;
250057;OIE;25.117318;121.474572;Asia;Taiwan (Province of China);Taiwan Sheng;Beitou District;Exact;2019-03-20;2019-03-29;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;5;5;5;;;;;;
250056;OIE;25.03067;121.48937;Asia;Taiwan (Province of China);Taiwan Sheng;Wanhua District;Exact;2019-03-20;2019-03-29;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;61;;;61;;;;;
250055;OIE;25.117318;121.474572;Asia;Taiwan (Province of China);Taiwan Sheng;Beitou District;Exact;2019-03-16;2019-03-29;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;39;39;39;;;;;;
250054;OIE;25.117318;121.474572;Asia;Taiwan (Province of China);Taiwan Sheng;Beitou District;Exact;2019-03-20;2019-04-01;Confirmed;Influenza - Avian;H5N2 HPAI;wild, grey heron;;1;1;;;;;;
250046;OIE;26.70138889;87.22805556;Asia;Nepal;Eastern;Itahari-11;Exact;2019-03-21;2019-04-01;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, chicken;2947;2100;2100;847;;;0;;
250045;OIE;26.65018889;87.35805556;Asia;Nepal;Eastern;Sunder Haraicha;Exact;2019-03-18;2019-04-01;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, chicken;3031;1092;1092;1939;;;0;;
249548;OIE;27.718573;85.317751;Asia;Nepal;Central;Lainchaur;Exact;2019-03-17;2019-03-26;Confirmed;Influenza - Avian;H5N1 HPAI;wild, crow;;200;200;;;;;;
249498;National authorities;41.14476;121.13994;Asia;China;Liaoning Sheng;Jinzhou City zoo;Centroid Admin2;2019-03-17;2019-03-25;Confirmed;Influenza - Avian;H7N9 HPAI;domestic,indian peafowl (pavo cristatus));394;9;9;191;;;0;;
249488;OIE;28.2553;84.10056;Asia;Nepal;Western;Madi ward-3;Exact;2019-03-07;2019-03-24;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, chicken;100;23;23;77;;;;;
249487;OIE;27.771416;85.318687;Asia;Nepal;Central;Tarkeshwor;Exact;2019-03-07;2019-03-24;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, chicken;30673;2125;2125;28548;;;;;
249486;OIE;27.762222;85.321944;Asia;Nepal;Central;Tokha;Exact;2019-03-07;2019-03-24;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, chicken;2220;370;370;1850;;;;;
249485;OIE;30.51158;47.53062;Asia;Iraq;Basrah;Basrah market;Exact;2019-03-17;2019-03-24;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;5000;5000;2000;3000;;;;;
249357;National authorities;11.48682;105.32533;Asia;Cambodia;Prey Veng;Prey Veng;Centroid Locality;2018-11-27;2019-02-15;Confirmed;Influenza - Avian;H7N7 LPAI;environmental sample, unspecified bird;;;;;;;;;
249356;National authorities;11.48682;105.32533;Asia;Cambodia;Prey Veng;Prey Veng;Centroid Locality;2018-11-21;2019-02-15;Confirmed;Influenza - Avian;H7N9 LPAI;environmental sample, unspecified bird;;;;;;;;;
249353;National authorities;11.569583;104.921028;Asia;Cambodia;Phnom Penh;Phnom Penh ;Centroid Locality;2018-11-20;2019-02-15;Confirmed;Influenza - Avian;H7N3 LPAI;environmental sample, unspecified bird;;1;;;;;;;
249290;OIE;23.97414;120.39647;Asia;Taiwan (Province of China);Taiwan Sheng;Fangyuan Township;Exact;2019-03-12;2019-03-18;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;17869;1305;1305;16564;;;;;
249048;OIE;55.5119;9.9781;Europe;Denmark;Fyn;Brenderup;Exact;2019-03-12;2019-03-15;Confirmed;Influenza - Avian;H7 LPAI;domestic, duck;3300;;;3300;;;;;
249046;OIE;27.769718;85.317463;Asia;Nepal;Central;Tarkeshwor-1;Exact;2019-02-28;2019-03-17;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, unspecified bird;5852;2600;2600;3252;;;;;
249045;OIE;27.396939;85.063117;Asia;Nepal;Central;Hetauda Submetropolitan;Exact;2019-02-14;2019-03-17;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, unspecified bird;50894;9769;9769;41125;;;;;
249044;OIE;38.045756;46.197428;Asia;Iran  (Islamic Republic of);East Azarbayejan;Tabriz city;Exact;2019-02-26;2019-03-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;31;31;10;21;;;;;
248985;OIE;23.85947;120.29204;Asia;Taiwan (Province of China);Taiwan Sheng;Dacheng Township;Exact;2019-03-04;2019-03-12;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;34200;800;800;33400;;;;;
248984;OIE;23.739512;120.239687;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-02-25;2019-03-12;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;18903;52;52;18851;;;;;
248872;OIE;-29.7613;25.759473;Africa;South Africa;Free State;Letsemeng;Centroid Admin2;2019-02-01;2019-03-14;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, ostrich;4372;75;;1;;;0;;
248811;OIE;43.18;24.67;Europe;Bulgaria;Lovech;Lisets;Exact;2019-03-13;2019-03-13;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;3200;20;0;;;;0;;
248643;OIE;15.4813;108.367;Asia;Viet Nam;Quang Nam;Tien Tho;Exact;2019-02-11;2019-03-11;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, duck;3800;1350;;3800;;;0;;
248343;OIE;22.71936111;120.56727778;Asia;Taiwan (Province of China);Taiwan Sheng;Yanpu Township;Exact;2019-02-21;2019-03-05;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;31890;466;466;31424;;;;;
248342;OIE;24.1502;86.6397;Asia;India;Jharkhand;Palojori Police Station;Exact;2019-02-13;2019-03-07;Confirmed;Influenza - Avian;H5N1 HPAI;wild, crow;;9;9;;;;0;;
248341;OIE;23.3441;85.3096;Asia;India;Jharkhand;Oxygen Park;Exact;2019-02-07;2019-03-07;Confirmed;Influenza - Avian;H5N1 HPAI;wild, crow;;1;1;;;;;;
248311;OIE;56.8177;10.0358;Europe;Denmark;Nordjylland;Terndrup;Exact;2019-02-26;2019-03-01;Confirmed;Influenza - Avian;H5 LPAI;domestic, chicken;7000;;;7000;;;;;
248299;FAO Field Officer;31.01;31.32;Africa;Egypt;Dakahlia;Ouaish Elhagar;Exact;2018-12-31;2019-03-06;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, duck;1000;10;;10;;;0;;
247951;OIE;26.64138;101.39805;Asia;China;Yunnan Sheng;Xingquan town community;Exact;2019-02-13;2019-02-27;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, unspecified bird;56380;463;463;55917;;;;;
247915;OIE;-29.7;24.4;Africa;South Africa;Free State;LPAI_H7N2_2019_001;Exact;2019-02-01;2019-02-20;Confirmed;Influenza - Avian;H7N2 LPAI;domestic, ostrich;4372;75;;1;;;;;
